"engine_name","version","family","pillar","phase","status","is_used","path_rel","module","sha256","size_bytes","summary","imports_local","external_apis","layers_emitted","risks"
"ENGINE-CALIBRATION-DYNAMIQUE-Ω","V1-PHASE-X-2026-04","V8_INSTITUTIONAL","GOUVERNANCE","VIII-X","ACTIF_Ω","True","engines/v8_institutional/engine_calibration_dynamique_omega.py","engines.v8_institutional.engine_calibration_dynamique_omega","e58e46a2b971d286234134a4782a00f44a89988abc52a799ce5148920357b138","4720","ENGINE-CALIBRATION-DYNAMIQUE-Ω — ML ajustement pondérations (Phase X)","engines.v8_institutional.engine_science_omega","GET /calibration-dynamique|GET /observations|POST /observations","zones|hotspots","—"
"ENGINE-CALIBRATION-Ω","V1-SUPRA-2026-04","V8_INSTITUTIONAL","GOUVERNANCE","VIII-X","ACTIF_Ω","True","engines/v8_institutional/engine_calibration_omega.py","engines.v8_institutional.engine_calibration_omega","472f4fedd7880fbdfc052e3cd6764ff49a5be87b5f961ce44c84bb698b12f13d","2259","ENGINE-CALIBRATION-Ω — Calibration non-invasive modeles.","engines.v8_institutional.engine_science_omega","","","—"
"ENGINE-CANADA-Ω","—","V8_INSTITUTIONAL","GOUVERNANCE","Ω","ACTIF_Ω","True","engines/v8_institutional/engine_canada_omega.py","engines.v8_institutional.engine_canada_omega","f8357129a759066ae9944fe5e2994648444001cd7fc7f069e1e667de4783eaee","6004","ENGINE-CANADA-Ω — Souveraineté pancanadienne (Phase X-B)","engines.v8_institutional.federal_datasets_omega|engines.v8_institutional.engine_science_omega","GET /canada|GET /canada/province/{code}","corridors","—"
"engine_carence_nutritionnelle_omega","V1-SUPRA-2026-04","V8_INSTITUTIONAL","GOUVERNANCE","Ω","ACTIF_Ω","True","engines/v8_institutional/engine_carence_nutritionnelle_omega.py","engines.v8_institutional.engine_carence_nutritionnelle_omega","7415096d9cae7aebf571a9b0339243e632f8789559bf3d22949c231bddbdf6aa","2222","ENGINE_CARENCE_NUTRITIONNELLE_Ω — Détection de carences par espèce.","","","","—"
"engine_champs_nourriciers_omega","V1-SUPRA-2026-04","V8_INSTITUTIONAL","GOUVERNANCE","Ω","ACTIF_Ω","True","engines/v8_institutional/engine_champs_nourriciers_omega.py","engines.v8_institutional.engine_champs_nourriciers_omega","59508694ba12e9cea1ff51f757a39d52cc7965265081a1b538dd73b7559fa7c4","2186","ENGINE_CHAMPS_NOURRICIERS_Ω — Détection et scoring des champs nourriciers.","","","","—"
"engine_forage_qualite_omega","V1-SUPRA-2026-04","V8_INSTITUTIONAL","GOUVERNANCE","Ω","ACTIF_Ω","True","engines/v8_institutional/engine_forage_qualite_omega.py","engines.v8_institutional.engine_forage_qualite_omega","0a4cf3fbdaac8a9f37019534909941ef4c0cdea16140d1c9fd19560239e984f8","2326","ENGINE_FORAGE_QUALITÉ_Ω — Qualité nutritionnelle des végétaux disponibles.","","","","—"
"engine_frequentation","—","V8_INSTITUTIONAL","GOUVERNANCE","Ω","ACTIF_Ω","True","engines/v8_institutional/engine_frequentation.py","engines.v8_institutional.engine_frequentation","9b6540714ea346c3e0c8ee73e419b742e4bb47c562306d69275188ea33bf1468","841","ENGINE 11 — FREQUENTATION (FAUNE + HUMAIN)","engines.v8_national.phase_b_engines","","","—"
"ENGINE-GOUVERNANCE-Ω","V1-SUPRA-2026-04","V8_INSTITUTIONAL","GOUVERNANCE","Ω","ACTIF_Ω","True","engines/v8_institutional/engine_gouvernance_omega.py","engines.v8_institutional.engine_gouvernance_omega","d96ca368e55a7106af31150799ddec30ec4b1525120fbf966bf7e21a83391058","3196","ENGINE-GOUVERNANCE-Ω — Fusion MONITORING + ALERTE + SCIENCE + REGISTRY.","engines.v8_institutional.sla_baseline_omega|engines.v8_institutional.engine_science_omega|engines.v8_institutional.monitoring_alerte_omega|engines.v8_institutional.self_audit_omega","GET /gouvernance","","—"
"engine_heatmap","—","V8_INSTITUTIONAL","GOUVERNANCE","Ω","ACTIF_Ω","True","engines/v8_institutional/engine_heatmap.py","engines.v8_institutional.engine_heatmap","2dd0625a56ebcd0378747b651a47865ac42ef8811f0fbfb62defced82b85742f","846","ENGINE 06 — HEATMAP","engines.v8_national.phase_b_engines","","","—"
"engine_hotspots","—","V8_INSTITUTIONAL","GOUVERNANCE","Ω","ACTIF_Ω","True","engines/v8_institutional/engine_hotspots.py","engines.v8_institutional.engine_hotspots","8a268fa092a0499ca517e66747084c49aabeab729029d1e210e6826d844a29c0","1099","ENGINE 04 — HOTSPOTS","engines.v8_national.phase_b_engines","","","—"
"ENGINE-INCERTITUDE-Ω","V1-SUPRA-2026-04","V8_INSTITUTIONAL","GOUVERNANCE","Ω","ACTIF_Ω","True","engines/v8_institutional/engine_incertitude_omega.py","engines.v8_institutional.engine_incertitude_omega","e0210bc0a5f9289a781677fda377c1b0b16c5c31c293ab5e42ace6b184dec8fb","2866","ENGINE-INCERTITUDE-Ω — Quantification incertitude par couche/engine/espece.","engines.v8_institutional.engine_science_omega","","","—"
"engine_intelligence","—","V8_INSTITUTIONAL","GOUVERNANCE","Ω","ACTIF_Ω","True","engines/v8_institutional/engine_intelligence.py","engines.v8_institutional.engine_intelligence","7bfce8b9f82359beeb65494d5fd3638d20a3ac87042df1225c1daea75abbf627","1685","ENGINE 23 — INTELLIGENCE","engines.v8_national.phase_a_engines","","","—"
"ENGINE-NUTRITION-V12-SUPRA","V12-SUPRA-2026-04","V8_INSTITUTIONAL","GOUVERNANCE","Ω","ACTIF_Ω","True","engines/v8_institutional/engine_nutrition_v12_supra.py","engines.v8_institutional.engine_nutrition_v12_supra","36fae4fa3e9586257f29e2d33537131ab192516dae7b46b61f5312a5d85d0e81","27813","ENGINE-NUTRITION-V12-SUPRA — Moteur biologique central","engines.v8_institutional.engine_science_omega","","","—"
"engine_nutritional_attractiveness_omega","V1-SUPRA-2026-04","V8_INSTITUTIONAL","GOUVERNANCE","Ω","ACTIF_Ω","True","engines/v8_institutional/engine_nutritional_attractiveness_omega.py","engines.v8_institutional.engine_nutritional_attractiveness_omega","fd7a973154937448549e5b7403592af6c9b0befd689eaf787ca75806cdc05e56","2432","ENGINE_NUTRITIONAL_ATTRACTIVENESS_Ω — Synthèse attractivité nutritionnelle du territoire.","","","fusion","—"
"engine_prediction","—","V8_INSTITUTIONAL","GOUVERNANCE","Ω","ACTIF_Ω","True","engines/v8_institutional/engine_prediction.py","engines.v8_institutional.engine_prediction","7bc14ab5afd386ed853859a8e07b9bc70296b293d4ee848d8338ba02a4ec7593","3494","ENGINE 21 — PREDICTION 48H","engines.v8_national.phase_b_engines|engines.v8_national.phase_c_engines","","","—"
"engine_psychologie","—","V8_INSTITUTIONAL","GOUVERNANCE","Ω","ACTIF_Ω","True","engines/v8_institutional/engine_psychologie.py","engines.v8_institutional.engine_psychologie","74d0d92a1c34b6501f91e32ceba5f2d2a3e6de7a72e5a45a93f215f44f934e4f","4262","ENGINE 20 — PSYCHOLOGIE ANIMALE","engines.v8_national.phase_b_engines","","","—"
"ENGINE-QUALIT","V1-SUPRA-2026-04","V8_INSTITUTIONAL","GOUVERNANCE","Ω","ACTIF_Ω","True","engines/v8_institutional/engine_qualite_donnees_omega.py","engines.v8_institutional.engine_qualite_donnees_omega","8de74c2a82f4b868f8eae481c406c77b61c02aef1d878261ecda0fb63517a0cb","2916","ENGINE-QUALITÉ-DONNÉES-Ω — Audit complétude/cohérence/fraicheur.","engines.v8_institutional.engine_science_omega","","","—"
"engine_recettes_salines_omega","V1-SUPRA-2026-04","V8_INSTITUTIONAL","GOUVERNANCE","Ω","ACTIF_Ω","True","engines/v8_institutional/engine_recettes_salines_omega.py","engines.v8_institutional.engine_recettes_salines_omega","b19a0fb23225a1015614ed2caff5e151cba17acb7c18107b5c7dbcca0ddfda11","2112","ENGINE_RECETTES_SALINES_Ω — Formulations de salines adaptées espèce+carence.","","","fusion","—"
"ENGINE-RENDER-Ω","—","V8_INSTITUTIONAL","GOUVERNANCE","P0-XI-SUPRA","ACTIF_Ω","True","engines/v8_institutional/engine_render_omega.py","engines.v8_institutional.engine_render_omega","67d7b15a0d6fbe0927b8f7b9e882a75821b625de7754525c22afb421dc102082","6161","ENGINE-RENDER-Ω — Moteur central de rendu TERRITOIRE (Phase XI-SUPRA)","engines.v8_institutional.engine_science_omega","POST /render-validate|GET /render-config","corridors|zones|affuts|salines|hotspots","—"
"engine_risque","—","V8_INSTITUTIONAL","GOUVERNANCE","Ω","ACTIF_Ω","True","engines/v8_institutional/engine_risque.py","engines.v8_institutional.engine_risque","135e6312bd018256fe65d3a44a0662967318bf44ad1790c608a8f2ac9543a769","822","ENGINE 10 — RISQUE","engines.v8_national.phase_b_engines","","","—"
"engine_saisonnalite","—","V8_INSTITUTIONAL","GOUVERNANCE","Ω","ACTIF_Ω","True","engines/v8_institutional/engine_saisonnalite.py","engines.v8_institutional.engine_saisonnalite","07246c83824ef9007fd960304227e5ebb1e13a4f490f2e69a376072e59ebafd3","1180","ENGINE 12 — SAISONNALITE","","","","—"
"engine_salines","—","V8_INSTITUTIONAL","GOUVERNANCE","Ω","ACTIF_Ω","True","engines/v8_institutional/engine_salines.py","engines.v8_institutional.engine_salines","d35f94286f246922c4019db149b7712c1bbe4a826fc8e54513e52cca2385430f","1316","ENGINE 07 — SALINES","engines.v8_national.phase_b_engines|engines.v8_national.phase_a_engines","","","—"
"engine_salines_v11_supra","—","V8_INSTITUTIONAL","GOUVERNANCE","Ω","ACTIF_Ω","True","engines/v8_institutional/engine_salines_v11_supra.py","engines.v8_institutional.engine_salines_v11_supra","220ff36a3d7b67b6863595fbfb7ef71e9ce3939200f084b33d7e975e12c6ff32","16176","ENGINE SALINES-V11-SUPRA — ACTIVATION TOTALE","","","","—"
"engine_sante_physio_omega","V1-SUPRA-2026-04","V8_INSTITUTIONAL","GOUVERNANCE","Ω","ACTIF_Ω","True","engines/v8_institutional/engine_sante_physio_omega.py","engines.v8_institutional.engine_sante_physio_omega","b3159282414bdd142cb724f786111a07afd2ddba80668877eea76b2d0aa80ebb","1834","ENGINE_SANTÉ_PHYSIO_Ω — Indicateur de santé physiologique estimée.","","","","—"
"ENGINE-SCIENCE-Ω","V2-SUPRA-2026-04","V8_INSTITUTIONAL","GOUVERNANCE","Ω","ACTIF_Ω","True","engines/v8_institutional/engine_science_omega.py","engines.v8_institutional.engine_science_omega","57c4f676eb78e8d8d6f7d60a3bef6b1a2c088d684e675dfc620f2f3790793ee5","5272","ENGINE-SCIENCE-Ω — Registry institutionnel + catalog scientifique","engines.v8_institutional.engine_science_omega","","","—"
"engine_score_global","—","V8_INSTITUTIONAL","GOUVERNANCE","Ω","ACTIF_Ω","True","engines/v8_institutional/engine_score_global.py","engines.v8_institutional.engine_score_global","92c1bdec76f4888d253e33382c50650510ac260bfaa5e32f35848324e4658744","8326","ENGINE 24 — SCORE GLOBAL — MODE REALITE (Phase IX)","engines.v8_institutional.engine_calibration_dynamique_omega|engines.v8_institutional.species_weighting_profiles|engines.v8_national.phase_c_engines","","zones|hotspots|contamination|sensoriel","—"
"engine_social_structure_omega","V1-SUPRA-2026-04","V8_INSTITUTIONAL","GOUVERNANCE","Ω","ACTIF_Ω","True","engines/v8_institutional/engine_social_structure_omega.py","engines.v8_institutional.engine_social_structure_omega","8e7a125d6a6a470eb4f0a39e109978ad816496a0b621ad59ee0e12382e07f428","1755","ENGINE_SOCIAL_STRUCTURE_Ω — Structure sociale (grégaire, solitaire, groupe).","","","","—"
"engine_sol_nutriments_omega","V1-SUPRA-2026-04","V8_INSTITUTIONAL","GOUVERNANCE","Ω","ACTIF_Ω","True","engines/v8_institutional/engine_sol_nutriments_omega.py","engines.v8_institutional.engine_sol_nutriments_omega","c36790ed80d054b18e075b73bdd86df8ce9322e4c886dac6db341f66edcfafb6","2472","ENGINE_SOL_NUTRIMENTS_Ω — Nutriments minéraux et organiques du sol.","","","","—"
"engine_terrain_cost","—","V8_INSTITUTIONAL","GOUVERNANCE","Ω","ACTIF_Ω","True","engines/v8_institutional/engine_terrain_cost.py","engines.v8_institutional.engine_terrain_cost","1cfe791ed033f7f60e16593b1744ad823a962d73bfea8fa41ab7a369b1fe52d4","585","ENGINE 15 — TERRAIN-COST","engines.v8_national.phase_b_engines","","","—"
"engine_trophic_behavior_omega","V1-SUPRA-2026-04","V8_INSTITUTIONAL","GOUVERNANCE","Ω","ACTIF_Ω","True","engines/v8_institutional/engine_trophic_behavior_omega.py","engines.v8_institutional.engine_trophic_behavior_omega","3706eb04705385fcc7f919b275a54adcd4f4f16b54af6ead428c069ce37407cb","2555","ENGINE_TROPHIC_BEHAVIOR_Ω — Comportement trophique par espèce et contexte.","","","","—"
"engine_vent","—","V8_INSTITUTIONAL","GOUVERNANCE","Ω","ACTIF_Ω","True","engines/v8_institutional/engine_vent.py","engines.v8_institutional.engine_vent","6802864d1f82c1dd4a1c2bd35c4455bb84a9414885334f1ba090cc0a6460ee4a","5181","ENGINE 05 — VENT","","","","—"
"engine_visibilite","—","V8_INSTITUTIONAL","GOUVERNANCE","Ω","ACTIF_Ω","True","engines/v8_institutional/engine_visibilite.py","engines.v8_institutional.engine_visibilite","03b87375a10dac2d7f0731697c9524dc2422d40053b0eca845258adf6abfdcde","791","ENGINE 16 — VISIBILITE","engines.v8_national.phase_b_engines","","","—"
"engine_zones","—","V8_INSTITUTIONAL","GOUVERNANCE","Ω","ACTIF_Ω","True","engines/v8_institutional/engine_zones.py","engines.v8_institutional.engine_zones","8229ca7c0d16e5f6716944e08105bc2e8d6e791609aef39e4e6bb047433c1784","503","ENGINE 01 — ZONES","engines.v8_national.phase_b_engines","","","—"
"esi_omega","—","V8_INSTITUTIONAL","GOUVERNANCE","Ω","ACTIF_Ω","True","engines/v8_institutional/esi_omega.py","engines.v8_institutional.esi_omega","bed38dd357709e350a0a0ef6c37882f19e31744229393da7384360cbdedd6831","18261","ENGINE SECURITE-INSTITUTIONNELLE-Omega (ESI-Omega)","engines.v8_national.phase_b_engines|engines.v8_national.map_bundle|engines.v8_institutional.engine_score_global","GET /laws|GET /conformite/full|GET /status|GET /validate/terrain|GET /validate/bundle|GET /audit","corridors|zones|affuts|salines|hotspots","—"
"export_institutionnel_v20_omega","—","V8_INSTITUTIONAL","GOUVERNANCE","P0-XI-SUPRA","ACTIF_Ω","True","engines/v8_institutional/export_institutionnel_v20_omega.py","engines.v8_institutional.export_institutionnel_v20_omega","7f6442074fb0ed12d247b60dddbfe94303ae2c7238eb6c5b08abd5068454ec66","6954","EXPORT-INSTITUTIONNEL-V20-Ω — PDF signé (Phase X-D)","engines.v8_institutional.engine_science_omega|engines.v8_institutional.registry_lock_omega","GET /export/institutionnel/v20","","—"
"federal_datasets_omega","—","V8_INSTITUTIONAL","GOUVERNANCE","Ω","ACTIF_Ω","True","engines/v8_institutional/federal_datasets_omega.py","engines.v8_institutional.federal_datasets_omega","a33be806485a4cce5470e2159b46319bb0d0ee48ea79d85571299850af6293d6","6974","FEDERAL-DATASETS-Ω — LEP + HYDAT (Phase X-C)","engines.v8_institutional.engine_science_omega","GET /federal/hydat/province/{code}|GET /federal/lep|GET /federal/hydat|GET /federal/lep/province/{code}","","—"
"fusion_territoire_omega","PHASE-E_DOCTRINE_PERMANENTE_50PCT_2026-04-28","V8_INSTITUTIONAL","GOUVERNANCE","Ω","ACTIF_Ω","True","engines/v8_institutional/fusion_territoire_omega.py","engines.v8_institutional.fusion_territoire_omega","3c1c33056028011e1ac5d1c8ea5708060bf631da78beab4d83669de80ff7390c","20106","fusion_territoire_omega.py — PHASE-E DOCTRINE PERMANENTE 50% + DÉROGATION BIO","engines.v8_institutional.engine_social_structure_omega|engines.v8_institutional.engine_nutritional_attractiveness_omega|engines.v8_institutional.engine_canopee_thermique_omega|engines.v8_institutional.engine_optimisation_habitat_omega|engines.v8_institutional.engine_trophic_behavior_omega|engines.v8_institutional.engine_champs_nourriciers_omega|engines.v8_institutional.engine_recettes_salines_omega|engines.v8_institutional.engine_microclimat_advanced_omega","","contamination|score_ultime","—"
"lep_ingestion_omega","—","V8_INSTITUTIONAL","GOUVERNANCE","Ω","ACTIF_Ω","True","engines/v8_institutional/lep_ingestion_omega.py","engines.v8_institutional.lep_ingestion_omega","67549a5350b52264912a53490402ffddb38192b7d15f93c14e4c2894eb387106","13152","LEP-INGESTION-Ω — BIONIC INGESTION-FGDB+GEOJSON-Ω-V1.0 (Phase XI-SUPRA-D)","engines.v8_institutional.engine_science_omega","POST /ingest|GET /registry|GET /geojson/{layer}|GET /status|GET /geojson-list|POST /ingest-path","","—"
"lidar_irda_v11","—","V8_INSTITUTIONAL","GOUVERNANCE","Ω","ACTIF_Ω","True","engines/v8_institutional/lidar_irda_v11.py","engines.v8_institutional.lidar_irda_v11","a8d9b85c636530b534e2cbcfddaa31545ec68c0f34ad4a0e4f2fcddb215856b7","18041","ENGINE LIDAR-IRDA V11 — INGESTION DONNÉES INSTITUTIONNELLES 1m","","","","—"
"ENGINE-MONITORING-Ω","—","V8_INSTITUTIONAL","GOUVERNANCE","P0-XI-SUPRA","ACTIF_Ω","True","engines/v8_institutional/monitoring_alerte_omega.py","engines.v8_institutional.monitoring_alerte_omega","c8ad5dd19e9d9184019b2689f70844aec3946cef9749c6aa1081899e952e6435","4424","ENGINE-MONITORING-Ω + ENGINE-ALERTE-ANOMALIES-Ω","engines.v8_institutional.sla_baseline_omega|engines.v8_institutional.engine_science_omega|engines.v8_institutional.self_audit_omega","GET /monitoring|GET /alertes","","—"
"origine_externe_filter_omega","—","V8_INSTITUTIONAL","GOUVERNANCE","Ω","ACTIF_Ω","True","engines/v8_institutional/origine_externe_filter_omega.py","engines.v8_institutional.origine_externe_filter_omega","33706d4353a5e14978abcd02b709f07e4a082820c1185b0c776ac97a5ecf6937","13388","origine_externe_filter_omega.py — PHASE_XIX_P1_ORIGINE_EXTERNE_FILTER_Ω","","","corridors","—"
"origine_externe_inversion_omega","—","V8_INSTITUTIONAL","GOUVERNANCE","Ω","ACTIF_Ω","True","engines/v8_institutional/origine_externe_inversion_omega.py","engines.v8_institutional.origine_externe_inversion_omega","2f0ae33a99c312f954c5abcd9c089a267c832630265cc30a21761bff1289eef9","9079","origine_externe_inversion_omega.py — PHASE_XIX_P2_ORIGINE_EXTERNE_INVERSION_Ω","engines.v8_institutional.origine_externe_filter_omega|engines.v8_institutional.predictive_omega_v2","","corridors","—"
"predictive_omega_v2","—","V8_INSTITUTIONAL","GOUVERNANCE","Ω","ACTIF_Ω","True","engines/v8_institutional/predictive_omega_v2.py","engines.v8_institutional.predictive_omega_v2","95d10ddcf2a63cf2c8749475e39d2ad963b0e4619e6292d37e4b9ced49156a47","16715","predictive_omega_v2.py — PHASE_XVIII_ENGINE_PREDICTIVE_OMEGA_GPS_USGS_Ω","","","corridors","—"
"protections_omega","—","V8_INSTITUTIONAL","GOUVERNANCE","Ω","ACTIF_Ω","True","engines/v8_institutional/protections_omega.py","engines.v8_institutional.protections_omega","51fc00d06405fcb4a9a6944379865ec100037b692f84170eafd680e56462d5b5","3772","protections_omega.py — PHASE 2 STABILISATION TERRITOIRE Ω","","","","—"
"redis_omega","—","V8_INSTITUTIONAL","GOUVERNANCE","Ω","ACTIF_Ω","True","engines/v8_institutional/redis_omega.py","engines.v8_institutional.redis_omega","f8b2ea439ca40fcc8b9dddc82088afdaf419f351a539143f2cfc399ca4399cc7","4717","REDIS-Ω — Backend cache partage multi-pod","","","","—"
"ENGINE-SCIENCE-Ω","V30-SUPRA-LOCKED-PHASE-XII-SUPRA-S-ACTIVATION-PRODUCTION-2026-04","V8_INSTITUTIONAL","GOUVERNANCE","VIII-X","ACTIF_Ω","True","engines/v8_institutional/registry_lock_omega.py","engines.v8_institutional.registry_lock_omega","fb765b94cc1fd4216c4afa4c0fb72bc1fd8e18fc26b6955db8157b42a26ecb0c","8703","REGISTRY-LOCK-Ω — Verrouillage institutionnel Phase XI","","GET /document-maitre-lock|GET /registry-lock","","—"
"science_gaps_datasets","—","V8_INSTITUTIONAL","GOUVERNANCE","Ω","ACTIF_Ω","True","engines/v8_institutional/science_gaps_datasets.py","engines.v8_institutional.science_gaps_datasets","3df60c3f518cf12239f96a2372760ffe2e3c4eb4cc9eb19ac4ae2170f8eff75a","5475","SCIENCE-Ω GAPS DATASETS — Seed institutionnels QC (Phase X)","engines.v8_institutional.engine_science_omega","GET /science-gaps","zones","—"
"ENGINE-SHIELD-O","—","V8_INSTITUTIONAL","GOUVERNANCE","Ω","ACTIF_Ω","True","engines/v8_institutional/securite_omega_v19.py","engines.v8_institutional.securite_omega_v19","4efb2907b1444fe3c40d44b146d0532592e8debfdb42e1f39b89c07f6ce12e54","10811","SECURITE-Omega V19 — SHIELDS + GUARDS + VALIDATORS","engines.v6|engines.v7","","corridors|zones|salines|contamination","—"
"self_audit_alerts_omega","—","V8_INSTITUTIONAL","GOUVERNANCE","VIII-X","ACTIF_Ω","True","engines/v8_institutional/self_audit_alerts_omega.py","engines.v8_institutional.self_audit_alerts_omega","090df97bbe9011d19239c6ffd3c785a7be84f908f0826e5d40411d61ad6eaaab","4968","SELF-AUDIT-ALERTS-Ω — Canal WebSocket institutionnel (Phase X-D)","engines.v8_institutional.engine_science_omega","","","—"
"self_audit_omega","—","V8_INSTITUTIONAL","GOUVERNANCE","VIII-X","ACTIF_Ω","True","engines/v8_institutional/self_audit_omega.py","engines.v8_institutional.self_audit_omega","449b6d0fe48c53a847eb426bd6fb5734f1f0b84d242fc97556ee6b0741d69dc8","14550","SELF-AUDIT-Ω — Validation institutionnelle TERRITOIRE-V12","engines.v8_institutional.self_audit_alerts_omega|engines.v8_institutional.sla_baseline_omega","GET /self-audit|GET /self-audit/last","","—"
"sla_baseline_30j_omega","—","V8_INSTITUTIONAL","GOUVERNANCE","P0-XI-SUPRA","ACTIF_Ω","True","engines/v8_institutional/sla_baseline_30j_omega.py","engines.v8_institutional.sla_baseline_30j_omega","dcc4621c4400cdb58c7499f41f44368cdcc1bb658db5e71f06f55fadf97dc0af","3700","SLA-BASELINE-30J-Ω — Série temporelle 30 jours (Phase X-D)","engines.v8_institutional.engine_science_omega","GET /sla-baseline-30j","","—"
"sla_baseline_omega","—","V8_INSTITUTIONAL","GOUVERNANCE","P0-XI-SUPRA","ACTIF_Ω","True","engines/v8_institutional/sla_baseline_omega.py","engines.v8_institutional.sla_baseline_omega","c3033785bc40c2a82ce6fa123d077ba60cafa3f4b8dc428015ad7723b11b0106","16829","SLA-BASELINE-Ω — Baseline institutionnelle + PERF-GUARD-Ω","engines.v8_institutional|engines.v8_institutional.territoire_v10_supra","GET /sla-baseline|POST /sla-baseline/seed|DELETE /sla-baseline","corridors","—"
"ENGINE-SUPRA-DONNEES-O","—","V8_INSTITUTIONAL","GOUVERNANCE","Ω","ACTIF_Ω","True","engines/v8_institutional/supra_donnees.py","engines.v8_institutional.supra_donnees","04a81ec1369718b8bd9ca9cbd734bd50bc841b98f095ebb2e4126b4939ed639b","14396","ENGINE SUPRA-DONNEES-Omega — CENTRAL DATA INTELLIGENCE","engines.v8_national.phase_b_engines","","","—"
"terrain_v10_supra","—","V8_INSTITUTIONAL","GOUVERNANCE","Ω","ACTIF_Ω","True","engines/v8_institutional/terrain_v10_supra.py","engines.v8_institutional.terrain_v10_supra","61e38e5a8f813dad9165adfc86e9e6bcf57dadf2d6e4df9dd164640ca7bfdebf","15619","ENGINE DONNEES-REELLES-TERRAIN V10-SUPRA-INSTITUTIONNEL","engines.v8_institutional.lidar_irda_v11","","","—"
