"rel_path_quarantine","abs_path_before_purge","size_bytes","sha256_pre_deletion","deleted_at_utc"
"nutrition_intelligence/x6030_product_ecosystem.py","/app/backend/engines/nutrition_intelligence/x6030_product_ecosystem.py","12177","3e633d24b3a265be9b04bfbbb985399de47f8e9404825e0577c79a9c0619b924","2026-04-29T18:18:22+00:00"
"nutrition_intelligence/x5200_mineral_recommendation.py","/app/backend/engines/nutrition_intelligence/x5200_mineral_recommendation.py","4286","61acbd99f2fff019e7ab0e988799279b0035d2bb7f5626419c5774d59d3353a1","2026-04-29T18:18:22+00:00"
"nutrition_intelligence/x6020_terrain_solutions.py","/app/backend/engines/nutrition_intelligence/x6020_terrain_solutions.py","14668","966c41a5c0b3cdd94d594a4a96c758d4c150c3f4f8ca54fb3905bec5fecf062d","2026-04-29T18:18:22+00:00"
"nutrition_intelligence/x6000_product_score.py","/app/backend/engines/nutrition_intelligence/x6000_product_score.py","11015","07bfea2885850076d3e95735c66a3ef2dc844f39e27080db091711e061fa440c","2026-04-29T18:18:22+00:00"
"bio_scoring_omega/v30_mirror_read_only.py","/app/backend/engines/bio_scoring_omega/v30_mirror_read_only.py","5222","45d7d0ceebad90bf5219278e134ff15c9322531687807c62b21211f59bb826c9","2026-04-29T18:18:22+00:00"
"corridor_unified/corridor_builder.py","/app/backend/engines/corridor_unified/corridor_builder.py","9557","f4e4f98d4e5b483cc074f361587e9edd0f28e12c8548057c2eb50a37fba90557","2026-04-29T18:18:22+00:00"
"corridor_unified/router.py","/app/backend/engines/corridor_unified/router.py","7024","a91ba0bbfab7c6b57df3edabec0719620d912c667f3ada8f9727652a265eb191","2026-04-29T18:18:22+00:00"
"corridor_unified/corridor_model.py","/app/backend/engines/corridor_unified/corridor_model.py","9254","bd85c47997f3a690a001d9a00fd564c7f237a286641845fee61f8b456e8ba255","2026-04-29T18:18:22+00:00"
"corridor_unified/__init__.py","/app/backend/engines/corridor_unified/__init__.py","111","0b90008baa28d92cf0befd42e7e7957b4590d2718fc6beea6453232d9d5359e9","2026-04-29T18:18:22+00:00"
"terrain_nav/terrain_router.py","/app/backend/engines/terrain_nav/terrain_router.py","20568","7b7e1ea91844b06d79450668cfa0bca2fd7b7d322f30ba3dc9af4e4528f016c7","2026-04-29T18:18:22+00:00"
"terrain_nav/terrain_costs.py","/app/backend/engines/terrain_nav/terrain_costs.py","11719","992ce471479217badaaff8b007c5b54579e82f7cff2b511bc08527d57a03ad1f","2026-04-29T18:18:22+00:00"
"weather_v3/wind_model_provider.py","/app/backend/engines/weather_v3/wind_model_provider.py","6889","2ff795863f7ef9719d913d8c8a6c23b3ac4971e9e8ce2366b7796b7c6442cefb","2026-04-29T18:18:22+00:00"
"relocation/candidate_generator.py","/app/backend/engines/relocation/candidate_generator.py","5885","d49a6f3ae5f9ad544eae5db0093072ab4a607184cacc0909fb9e89cc66ec305f","2026-04-29T18:18:22+00:00"
"relocation/router.py","/app/backend/engines/relocation/router.py","4688","3f826f109d86425f631d7a0153f960e48b954a068431fe25eb913d476d3479a3","2026-04-29T18:18:22+00:00"
"relocation/relocation_engine.py","/app/backend/engines/relocation/relocation_engine.py","10885","fb04a55c18191a895710cf751169395c7bdba370ff9882d241c76804b9f18fdc","2026-04-29T18:18:22+00:00"
"relocation/__init__.py","/app/backend/engines/relocation/__init__.py","121","70a5257b66fa238aef59001f182349e8bbc5e4e622fa8056ae66e8455193bb3f","2026-04-29T18:18:22+00:00"
"supra_advanced/territory_bridge.py","/app/backend/engines/supra_advanced/territory_bridge.py","5471","01638845bee9333b6b6ea10e936d8280822f56408d010c9a331e7811a114c3ed","2026-04-29T18:18:22+00:00"
