"rel_path","size_bytes","lines_code","imports_count","legacy_count","omega_count","classes","functions","max_mccabe","avg_mccabe","decisions","risk","priority","wave","eta_hours","target_migration","candidate_purge_xvii","sha256_now","legacy_imports"
"v8_national/phase_a_engines.py","16232","277","6","1","0","0","11","20","5.64","51","HIGH","P0","3","12.0","SUPER_ENGINES_Ω (à classifier)","FALSE","32f454152ef7dea2f1ee55d394bc9d3d9d2b51154f293a43dcb2b00c0146877b","engines.v8_national.exclusion_engine"
"spatial_engine_v7/router.py","30360","571","11","1","0","0","13","18","6.69","74","HIGH","P0","3","24.0","SUPER_ENGINES_Ω (à classifier)","FALSE","adcd1b22918466eb3f05e0d40618feae49d087c4a010eb28c3c28b8e1f817968","modules.nutrition_engine_v7.pipeline"
"v8_national/phase_b_engines.py","33451","571","5","0","0","0","18","18","6.39","97","HIGH","P1","3","24.0","SUPER_ENGINES_Ω (à classifier)","FALSE","ede994e06f35459e0286acbe32c490c10f3deeec9c19086e2e0df7924cca351f",""
"supra_advanced/router.py","11568","237","6","0","0","0","5","17","11.2","51","HIGH","P1","3","12.0","SUPER_ENGINES_Ω (à classifier)","FALSE","e59bb9491b2c35b9de146bf86697f4bd0f5a8eca599a4161296abedbb7f3e8df",""
"v8_national/map_bundle.py","13480","261","15","7","0","0","9","15","6.44","49","HIGH","P0","3","12.0","SUPER_ENGINES_Ω (à classifier)","FALSE","05329cc8c3d2d21945ea4efe146e294d3ee044198e54161f94867dd8455253b7","engines.v8_national.exclusion_engine|engines.v8_national.governance|engines.v8_national.p1_pipelines|engines.v8_national.phase_b_engines|engines.v8_national.phase_c_engines|engines.v8_national.referentials|modules.canada_v72.data"
"terrain_nav/__init__.py","7041","148","6","0","0","0","6","14","3.67","16","HIGH","P1","3","6.0","SUPER_ENGINES_Ω (à classifier)","FALSE","ed8a4f58a9e3a795ba23de3bf7a46d646778bb79efa4bdccd85d22b7574377af",""
"bdre/institutional_cache.py","15430","342","11","0","0","0","11","12","3.27","25","HIGH","P1","3","12.0","SUPER_ENGINES_Ω (à classifier)","FALSE","af61b52c7cec62615885e04b21ea590ccc27b3f4f04eb6cd87217814733bd31f",""
"v8_national/phase_c_engines.py","15424","282","7","2","0","0","11","12","4.55","39","HIGH","P0","3","12.0","SUPER_ENGINES_Ω (à classifier)","FALSE","51746ac46e3b629a7cd1b631ddd90ab14ab4a0c447e333e41c80112898289faa","engines.v8_national.phase_a_engines|engines.v8_national.phase_b_engines"
"post_smoothing/anti_regression_omega.py","13837","263","6","0","0","0","10","12","6.1","51","HIGH","P1","3","12.0","SUPER_ENGINES_Ω (à classifier)","FALSE","c644223b4c90fd36bc58f6be2ee4c78634b035f88aaf548ed0bfff04e8893d7a",""
"supra_engine_v7/router.py","13823","235","11","1","0","1","8","12","4.0","24","HIGH","P0","3","12.0","SUPER_ENGINES_Ω (à classifier)","FALSE","853c38ba273a98409bfe84098104a5279ef5d60db72a38818ccea7c65a6f0d52","modules.nutrition_engine_v7.pipeline"
"legal_time_omega/router.py","8210","147","6","0","0","0","5","12","3.8","14","HIGH","P1","3","6.0","SUPER_ENGINES_Ω (à classifier)","FALSE","3212acc450f2667a82e0a5f013a54f86a95153dfaed93e5da1fc3a16bd216077",""
"hunt_orchestrator/router.py","16253","376","10","0","0","7","9","11","4.33","30","HIGH","P1","3","12.0","SUPER_ENGINES_Ω (à classifier)","FALSE","fc3d4bd8f45f5e41b074a58d8c08a745ecc310ccb4e957e6f344f07775d06976",""
"reseau_veineux_omega/external_inflow.py","16534","258","4","0","0","0","13","11","3.69","35","HIGH","P1","3","12.0","SUPER_ENGINES_Ω (à classifier)","FALSE","bfd70e6944aae817f9a383989505be3dfc1151f9b16687522d8e840eef07004d",""
"terrain_nav/terrain_sources.py","17054","354","10","0","0","0","14","9","4.14","44","MEDIUM","P1","3","8.4","SUPER_ENGINES_Ω (à classifier)","FALSE","6f1e4d22bfa19c5f271488dcb7ea8929cdc83eaa658459ac3bcf6028cbd06efe",""
"nutrition_intelligence/x7000_supplier_product_engine.py","9953","244","4","0","0","0","11","9","2.73","19","MEDIUM","P1","3","8.4","SUPER_ENGINES_Ω (à classifier)","FALSE","515002deb9cfa2b778d08be028019933a2b88443951319a853718f9aaed9bc07",""
"v8_national/p1_pipelines.py","10454","210","6","1","0","0","5","8","3.4","12","MEDIUM","P0","3","8.4","SUPER_ENGINES_Ω (à classifier)","FALSE","ba2d682e255481db3904731933cad57e464f85e7c0e8a01d6415d4d28f997e80","modules.canada_v72.data"
"bdre/router.py","19282","442","6","0","0","0","18","7","2.33","24","MEDIUM","P1","3","8.4","SUPER_ENGINES_Ω (à classifier)","FALSE","c3daf59360e065abdfaa5bf9d275038a40ec049407982189563f904a5b7b51a3",""
"eco_zones_omega/router.py","6403","113","4","0","0","0","6","7","2.67","10","MEDIUM","P1","3","4.2","SUPER_ENGINES_Ω (à classifier)","FALSE","edc97f665dd230c415dd3867b854717e66b89bf465fce93b513b5960fde85d92",""
"advanced_geospatial_omega/router.py","6344","140","6","0","0","0","7","5","3.43","17","MEDIUM","P1","3","4.2","SUPER_ENGINES_Ω (à classifier)","FALSE","1ba26c9c0c7874a4aee88bd85eb38596b9eb2319091f9ebb0769fc6a9494ccd5",""
"ecoforestry_omega/router.py","5765","105","6","0","0","0","7","5","2.43","10","MEDIUM","P1","3","4.2","SUPER_ENGINES_Ω (à classifier)","FALSE","37f26422cd92d62a846f3b12c1b23a128d93874ad8912a022a55b1a5b05708cb",""
"hydro_topo_omega/router.py","4611","103","5","0","0","0","6","5","3.0","12","MEDIUM","P1","3","4.2","SUPER_ENGINES_Ω (à classifier)","FALSE","64d5f7f4eb8b06194a438a03133863991af633595cad2f5a6be461146cc41a63",""
"v8_national/governance.py","7661","163","8","0","0","0","5","4","2.6","8","LOW","P1","3","3.0","SUPER_ENGINES_Ω (à classifier)","FALSE","690ff6835b7eea1bbfc90e5f6b11171dc6e77f25f1732f0efd1f7106e19d87b8",""
"terrain_3d_omega/router.py","5267","118","6","0","0","0","7","4","2.43","10","LOW","P1","3","3.0","SUPER_ENGINES_Ω (à classifier)","FALSE","1e25c08a5fb6c5af273e16deb075180fce86c8731edfff215a792530cf459c43",""
"wildlife_behavior_omega/router.py","4910","89","5","1","0","0","5","4","3.0","10","MEDIUM","P0","3","4.2","SUPER_ENGINES_Ω (à classifier)","FALSE","bf35ea0b0e59ca28ae777b8c1188c3651db415349d548b6c040a26a60b442dab","core.scoring_pipeline.corridors_v10.species_profiles"
"bdre/__init__.py","3431","83","1","0","0","0","12","2","1.17","2","LOW","P1","3","3.0","SUPER_ENGINES_Ω (à classifier)","FALSE","b2412b738ac1b8efba611e160b7d02c6503742d01a1ace1645e7b9d415f6d02d",""
"x199_commons.py","2017","47","4","0","0","0","2","2","1.5","1","LOW","P1","3","1.0","SUPER_ENGINES_Ω (à classifier)","FALSE","e916dbc9527b6f19caade5465ebe698725cadb33ee32233c6836f46b0ce75ea8",""
"nutrition_intelligence/__init__.py","1361","16","0","0","0","0","0","0","0.0","0","LOW","P1","3","1.0","SUPER_ENGINES_Ω (à classifier)","FALSE","27d3d1e9d6942326c5ea9f1af888fd03d0f8e374121aa03fc85d0c7cf2b331c0",""
"wildlife_behavior_omega/__init__.py","551","13","0","0","0","0","0","0","0.0","0","LOW","P1","3","1.0","SUPER_ENGINES_Ω (à classifier)","FALSE","8424303e2ced6375a4bb2736f4a354073036daa50c682916f1e42508fda8faed",""
"terrain_3d_omega/__init__.py","508","13","0","0","0","0","0","0","0.0","0","LOW","P1","3","1.0","SUPER_ENGINES_Ω (à classifier)","FALSE","5f25b11a7171ecb8cb5db419ba86a8d0a485d8656838f3d38236c027b77eeab1",""
"ecoforestry_omega/__init__.py","525","13","0","0","0","0","0","0","0.0","0","LOW","P1","3","1.0","SUPER_ENGINES_Ω (à classifier)","FALSE","4f3ab419d74e3f11ec9ecae9d6fbc6ad4545157a6b2b0d081f3937f1a0b911f9",""
"bio_scoring_omega/__init__.py","520","13","0","0","0","0","0","0","0.0","0","LOW","P1","3","1.0","SUPER_ENGINES_Ω (à classifier)","FALSE","941fa23447776dbfc96b9e9dcc6cb6fea9c0923c3efcc1884fa2c25044915417",""
"legal_time_omega/__init__.py","532","13","0","0","0","0","0","0","0.0","0","LOW","P1","3","1.0","SUPER_ENGINES_Ω (à classifier)","FALSE","5724b7d5ed8e894a29a6fb7caec76d8646b4532374f755382ca7b8af15b12f18",""
"hydro_topo_omega/__init__.py","529","13","0","0","0","0","0","0","0.0","0","LOW","P1","3","1.0","SUPER_ENGINES_Ω (à classifier)","FALSE","bdeef00259211b3201802b5ee687f56641b2b100cc9ee6efd45f544d17de3cf6",""
"eco_zones_omega/__init__.py","522","13","0","0","0","0","0","0","0.0","0","LOW","P1","3","1.0","SUPER_ENGINES_Ω (à classifier)","FALSE","f5e350081f45316358a360aa7c59ceaaf3e5ba2bdb1e4bb87c95d490d80f49bc",""
"reseau_veineux_omega/__init__.py","537","13","0","0","0","0","0","0","0.0","0","LOW","P1","3","1.0","SUPER_ENGINES_Ω (à classifier)","FALSE","17954cdf7161b634b5b12e8e6c7ad450bf8c6399841c7556e6a352db576c90b0",""
"advanced_geospatial_omega/__init__.py","538","13","0","0","0","0","0","0","0.0","0","LOW","P1","3","1.0","SUPER_ENGINES_Ω (à classifier)","FALSE","c9d83e77b014e5dc05cf8eccd9a945a4d2f26a3047ab8d3d819705daea5d43b2",""
"predictive_omega/__init__.py","542","13","0","0","0","0","0","0","0.0","0","LOW","P1","3","1.0","SUPER_ENGINES_Ω (à classifier)","FALSE","95c1a1fbf60c81c3f267bedd617cb5cbb3b96326ff0df62c0a5537f74ab204c3",""
"hunt_orchestrator/__init__.py","456","12","0","0","0","0","0","0","0.0","0","LOW","P1","3","1.0","SUPER_ENGINES_Ω (à classifier)","FALSE","3374506dd2048070428ac80058ec70810aa3ee33a49842c9afc5c9f0c4df6a5a",""
"post_smoothing/__init__.py","283","6","0","0","0","0","0","0","0.0","0","LOW","P1","3","1.0","SUPER_ENGINES_Ω (à classifier)","FALSE","d8bea42c1665da903f0b0ba3bb945768efa896bf5949be1353c1ef0b46c9c9e2",""
"supra_engine_v7/__init__.py","52","0","0","0","0","0","0","0","0.0","0","LOW","P1","3","1.0","SUPER_ENGINES_Ω (à classifier)","FALSE","f22160ec405072494e0ab0c67c73d85e1eb559fb1c0894d08bbb37384d729a94",""
"supra_advanced/__init__.py","36","0","0","0","0","0","0","0","0.0","0","LOW","P1","3","1.0","SUPER_ENGINES_Ω (à classifier)","FALSE","06bbb37510fa098d2261e6a97008a0df59d9f1d45c7bb6bc65359d0d2fcd7558",""
"spatial_engine_v7/__init__.py","53","0","0","0","0","0","0","0","0.0","0","LOW","P1","3","1.0","SUPER_ENGINES_Ω (à classifier)","FALSE","5776153084c2e9b097b8255f85c10616c83307a94170eff660965fd4ac37041f",""
"v8_national/__init__.py","52","0","0","0","0","0","0","0","0.0","0","LOW","P1","3","1.0","SUPER_ENGINES_Ω (à classifier)","FALSE","345acca0100309a5da9a6ed92120018346ebdb9da3dbd9132242a2adb18d2e84",""
"weather_v3/__init__.py","31","0","0","0","0","0","0","0","0.0","0","LOW","P1","3","1.0","SUPER_ENGINES_Ω (à classifier)","FALSE","07356eb74fd40746885ba4e65bfa1078c412e0183d0ddad801e40070a2bb827d",""
