"filename","rel_path","primary_category","all_categories","pilier","phase","statut","is_omega","size_bytes","lines_total","lines_code","lines_comments","imports_count","risques","sha256"
"router.py","supra_engine_v7/router.py","LEGACY_SUPRA","LEGACY_SUPRA","LEGACY","SUPRA","ACTIF","FALSE","13823","305","235","26","18","","853c38ba273a98409bfe84098104a5279ef5d60db72a38818ccea7c65a6f0d52"
"router.py","supra_advanced/router.py","LEGACY_SUPRA","LEGACY_SUPRA","LEGACY","SUPRA","ACTIF","FALSE","11568","311","237","28","8","","e59bb9491b2c35b9de146bf86697f4bd0f5a8eca599a4161296abedbb7f3e8df"
"territory_bridge.py","supra_advanced/territory_bridge.py","LEGACY_SUPRA","LEGACY_SUPRA","LEGACY","SUPRA","ACTIF","FALSE","5471","145","121","8","8","","01638845bee9333b6b6ea10e936d8280822f56408d010c9a331e7811a114c3ed"
"__init__.py","spatial_engine_v7/__init__.py","LEGACY_V7","LEGACY_V7","LEGACY","V7","ACTIF","FALSE","53","1","0","1","0","","5776153084c2e9b097b8255f85c10616c83307a94170eff660965fd4ac37041f"
"router.py","spatial_engine_v7/router.py","LEGACY_V7","LEGACY_V7","LEGACY","V7","ACTIF","FALSE","30360","735","571","59","14","placeholder_detected","adcd1b22918466eb3f05e0d40618feae49d087c4a010eb28c3c28b8e1f817968"
"__init__.py","v8_national/__init__.py","LEGACY_V8","LEGACY_V8","LEGACY","V8","ACTIF","FALSE","52","1","0","1","0","","345acca0100309a5da9a6ed92120018346ebdb9da3dbd9132242a2adb18d2e84"
"exclusion_engine.py","v8_national/exclusion_engine.py","LEGACY_V8","LEGACY_V8","LEGACY","V8","ACTIF","FALSE","21373","489","389","46","12","","42cbed5d1c99066b45baa424e1a5819ab7286b57e6c54bb665277571dbd4cfec"
"governance.py","v8_national/governance.py","LEGACY_V8","LEGACY_V8","LEGACY","V8","ACTIF","FALSE","7661","197","163","6","13","","690ff6835b7eea1bbfc90e5f6b11171dc6e77f25f1732f0efd1f7106e19d87b8"
"map_bundle.py","v8_national/map_bundle.py","LEGACY_V8","LEGACY_V8","LEGACY","V8","ACTIF","FALSE","13480","313","261","13","24","","05329cc8c3d2d21945ea4efe146e294d3ee044198e54161f94867dd8455253b7"
"p1_pipelines.py","v8_national/p1_pipelines.py","LEGACY_V8","LEGACY_V8","LEGACY","V8","ACTIF","FALSE","10454","261","210","15","9","","ba2d682e255481db3904731933cad57e464f85e7c0e8a01d6415d4d28f997e80"
"phase_a_engines.py","v8_national/phase_a_engines.py","LEGACY_V8","LEGACY_V8","LEGACY","V8","ACTIF","FALSE","16232","360","277","26","8","","32f454152ef7dea2f1ee55d394bc9d3d9d2b51154f293a43dcb2b00c0146877b"
"phase_b_engines.py","v8_national/phase_b_engines.py","LEGACY_V8","LEGACY_V8","LEGACY","V8","ACTIF","FALSE","33451","770","571","84","7","","ede994e06f35459e0286acbe32c490c10f3deeec9c19086e2e0df7924cca351f"
"phase_c_engines.py","v8_national/phase_c_engines.py","LEGACY_V8","LEGACY_V8","LEGACY","V8","ACTIF","FALSE","15424","364","282","30","13","","51746ac46e3b629a7cd1b631ddd90ab14ab4a0c447e333e41c80112898289faa"
"referentials.py","v8_national/referentials.py","LEGACY_V8","LEGACY_V8","LEGACY","V8","ACTIF","FALSE","13401","272","235","15","0","","0c610c3466b853a6a7a66643821ba6ca454ac0affc9af4302da45a83de6daa06"
"router.py","v8_national/router.py","LEGACY_V8","LEGACY_V8","LEGACY","V8","ACTIF","FALSE","13203","305","259","13","26","","f18a2e5b35a832da9d9bb1345f43222412ab4b5fe02d8037ff507648765b66ed"
"__init__.py","wildlife_behavior_omega/__init__.py","ORPHAN","ORPHAN","ORPHAN","—","ACTIF","FALSE","551","15","13","0","2","","8424303e2ced6375a4bb2736f4a354073036daa50c682916f1e42508fda8faed"
"__init__.py","terrain_3d_omega/__init__.py","ORPHAN","ORPHAN","ORPHAN","—","ACTIF","FALSE","508","15","13","0","2","","5f25b11a7171ecb8cb5db419ba86a8d0a485d8656838f3d38236c027b77eeab1"
"__init__.py","bdre/__init__.py","ORPHAN","ORPHAN","ORPHAN","—","ACTIF","FALSE","3431","111","83","0","9","","b2412b738ac1b8efba611e160b7d02c6503742d01a1ace1645e7b9d415f6d02d"
"__init__.py","hunt_orchestrator/__init__.py","ORPHAN","ORPHAN","ORPHAN","—","ACTIF","FALSE","456","14","12","0","0","","3374506dd2048070428ac80058ec70810aa3ee33a49842c9afc5c9f0c4df6a5a"
"__init__.py","ecoforestry_omega/__init__.py","ORPHAN","ORPHAN","ORPHAN","—","ACTIF","FALSE","525","15","13","0","2","","4f3ab419d74e3f11ec9ecae9d6fbc6ad4545157a6b2b0d081f3937f1a0b911f9"
"__init__.py","nutrition_intelligence/__init__.py","ORPHAN","ORPHAN","ORPHAN","—","ACTIF","FALSE","1361","16","16","0","34","","27d3d1e9d6942326c5ea9f1af888fd03d0f8e374121aa03fc85d0c7cf2b331c0"
"__init__.py","bio_scoring_omega/__init__.py","ORPHAN","ORPHAN","ORPHAN","—","ACTIF","FALSE","520","15","13","0","2","","941fa23447776dbfc96b9e9dcc6cb6fea9c0923c3efcc1884fa2c25044915417"
"__init__.py","corridor_unified/__init__.py","ORPHAN","ORPHAN","ORPHAN","—","ACTIF","FALSE","111","2","0","2","0","","0b90008baa28d92cf0befd42e7e7957b4590d2718fc6beea6453232d9d5359e9"
"__init__.py","legal_time_omega/__init__.py","ORPHAN","ORPHAN","ORPHAN","—","ACTIF","FALSE","532","15","13","0","2","","5724b7d5ed8e894a29a6fb7caec76d8646b4532374f755382ca7b8af15b12f18"
"__init__.py","hydro_topo_omega/__init__.py","ORPHAN","ORPHAN","ORPHAN","—","ACTIF","FALSE","529","15","13","0","2","","bdeef00259211b3201802b5ee687f56641b2b100cc9ee6efd45f544d17de3cf6"
"__init__.py","eco_zones_omega/__init__.py","ORPHAN","ORPHAN","ORPHAN","—","ACTIF","FALSE","522","15","13","0","2","","f5e350081f45316358a360aa7c59ceaaf3e5ba2bdb1e4bb87c95d490d80f49bc"
"__init__.py","terrain_nav/__init__.py","ORPHAN","ORPHAN","ORPHAN","—","ACTIF","FALSE","7041","192","148","11","17","","ed8a4f58a9e3a795ba23de3bf7a46d646778bb79efa4bdccd85d22b7574377af"
"__init__.py","reseau_veineux_omega/__init__.py","ORPHAN","ORPHAN","ORPHAN","—","ACTIF","FALSE","537","15","13","0","2","","17954cdf7161b634b5b12e8e6c7ad450bf8c6399841c7556e6a352db576c90b0"
"__init__.py","weather_v3/__init__.py","ORPHAN","ORPHAN","ORPHAN","—","ACTIF","FALSE","31","1","0","1","0","","07356eb74fd40746885ba4e65bfa1078c412e0183d0ddad801e40070a2bb827d"
"__init__.py","relocation/__init__.py","ORPHAN","ORPHAN","ORPHAN","—","ACTIF","FALSE","121","2","0","2","0","","70a5257b66fa238aef59001f182349e8bbc5e4e622fa8056ae66e8455193bb3f"
"__init__.py","advanced_geospatial_omega/__init__.py","ORPHAN","ORPHAN","ORPHAN","—","ACTIF","FALSE","538","15","13","0","2","","c9d83e77b014e5dc05cf8eccd9a945a4d2f26a3047ab8d3d819705daea5d43b2"
"__init__.py","predictive_omega/__init__.py","ORPHAN","ORPHAN","ORPHAN","—","ACTIF","FALSE","542","15","13","0","2","","95c1a1fbf60c81c3f267bedd617cb5cbb3b96326ff0df62c0a5537f74ab204c3"
"__init__.py","post_smoothing/__init__.py","ORPHAN","ORPHAN","ORPHAN","—","ACTIF","FALSE","283","8","6","0","0","","d8bea42c1665da903f0b0ba3bb945768efa896bf5949be1353c1ef0b46c9c9e2"
"access_engine.py","hunt_orchestrator/access_engine.py","ORPHAN","ORPHAN","ORPHAN","—","ACTIF","FALSE","35599","932","732","64","22","","1f6d82167783d9ca11c5a59d86c1da7459ef4d5117a6aeb17044e42814321614"
"anomaly_detector.py","bdre/anomaly_detector.py","ORPHAN","ORPHAN","ORPHAN","—","ACTIF","FALSE","5367","151","124","5","3","","396741ae948b2e5ed7ef399cbf0d2c38fd991f6b95b6349c89ff925d29c1b50b"
"anti_regression_omega.py","post_smoothing/anti_regression_omega.py","ORPHAN","ORPHAN","ORPHAN","—","ACTIF","TRUE","13837","321","263","24","12","","c644223b4c90fd36bc58f6be2ee4c78634b035f88aaf548ed0bfff04e8893d7a"
"audit_logger.py","bdre/audit_logger.py","ORPHAN","ORPHAN","ORPHAN","—","ACTIF","FALSE","3292","109","95","0","5","fallback_detected","0cf0aeaee2481bfdd7ac9a7e3239804e12f796f5f32abbe06925d32314e1d5c8"
"baseline_registry_omega.py","post_smoothing/baseline_registry_omega.py","ORPHAN","ORPHAN","ORPHAN","—","ACTIF","TRUE","4451","118","96","3","6","","6712bc21dd619fef44a7c948c48a0eba74670c77d09cc7799f7794d91d6d2d1e"
"candidate_generator.py","relocation/candidate_generator.py","ORPHAN","ORPHAN","ORPHAN","—","ACTIF","FALSE","5885","177","138","7","8","","d49a6f3ae5f9ad544eae5db0093072ab4a607184cacc0909fb9e89cc66ec305f"
"choix_affuts.py","hunt_orchestrator/choix_affuts.py","ORPHAN","ORPHAN","ORPHAN","—","ACTIF","FALSE","16874","420","333","38","11","","846af306006ce60a6f8e8827810e2036eb024017d79f1f1248405688a16969bd"
"corridor_builder.py","corridor_unified/corridor_builder.py","ORPHAN","ORPHAN","ORPHAN","—","ACTIF","FALSE","9557","269","207","15","14","","f4e4f98d4e5b483cc074f361587e9edd0f28e12c8548057c2eb50a37fba90557"
"corridor_model.py","corridor_unified/corridor_model.py","ORPHAN","ORPHAN","ORPHAN","—","ACTIF","FALSE","9254","291","228","14","8","","bd85c47997f3a690a001d9a00fd564c7f237a286641845fee61f8b456e8ba255"
"corridor_optimizer_v2.py","bdre/corridor_optimizer_v2.py","ORPHAN","ORPHAN","ORPHAN","—","ACTIF","FALSE","23822","596","480","38","7","","f8dedd4109df8cc5a10e279980249973b2e9ae9121b82a90b2747ce4037a4f47"
"external_inflow.py","reseau_veineux_omega/external_inflow.py","ORPHAN","ORPHAN","ORPHAN","—","ACTIF","FALSE","16534","332","258","36","8","","bfd70e6944aae817f9a383989505be3dfc1151f9b16687522d8e840eef07004d"
"fallback_chain.py","bdre/fallback_chain.py","ORPHAN","ORPHAN","ORPHAN","—","ACTIF","FALSE","22722","500","406","42","14","","21ef92978293ee38be967b6b1fcb73a3016cace0148b19609e54efb4178a5794"
"health_monitor.py","bdre/health_monitor.py","ORPHAN","ORPHAN","ORPHAN","—","ACTIF","FALSE","2836","92","76","1","3","","b0ef40b124744c089c0c58af4dc2b643e8fc6644dc95a225f03d4bd1e0cb70b2"
"institutional_cache.py","bdre/institutional_cache.py","ORPHAN","ORPHAN","ORPHAN","—","ACTIF","FALSE","15430","439","342","26","18","","af61b52c7cec62615885e04b21ea590ccc27b3f4f04eb6cd87217814733bd31f"
"interzone_omega.py","post_smoothing/interzone_omega.py","ORPHAN","ORPHAN","ORPHAN","—","ACTIF","TRUE","25719","584","456","67","8","","c612b36046314f6890856c97085154818b809922e2b1bd3623ce371ea119d24a"
"orchestrator.py","hunt_orchestrator/orchestrator.py","ORPHAN","ORPHAN","ORPHAN","—","ACTIF","FALSE","17823","454","366","39","23","","2f78a3f0129eaa56c59a2abbad03ca774e7631e42a3904d84d47eb9502a2b992"
"organic_corridor_smoother.py","post_smoothing/organic_corridor_smoother.py","ORPHAN","ORPHAN","ORPHAN","—","ACTIF","FALSE","40519","813","636","104","19","","7cf53689fb7f42b77ab134d3bed87ad7ed1da9572283a87e07e38b889a127619"
"p1_preparation.py","post_smoothing/p1_preparation.py","ORPHAN","ORPHAN","ORPHAN","—","ACTIF","FALSE","24504","525","424","41","15","","0144ca6155b784cb326a72bcbc162a69647e369db6ddd3fd3ca70815c181922c"
"predictive_integration.py","post_smoothing/predictive_integration.py","ORPHAN","ORPHAN","ORPHAN","—","ACTIF","FALSE","11632","284","230","12","9","","47dfb202ea545ea46ef36d1862b62b77a70b1f20ae7cabfb59f3805553e17ad5"
"quality_scorer.py","bdre/quality_scorer.py","ORPHAN","ORPHAN","ORPHAN","—","ACTIF","FALSE","7294","215","168","12","4","fallback_detected","20d8f43df07515160d360addd7d5ee51b678eb716b1d46aae69464984e668d25"
"relocation_engine.py","relocation/relocation_engine.py","ORPHAN","ORPHAN","ORPHAN","—","ACTIF","FALSE","10885","331","258","23","10","","fb04a55c18191a895710cf751169395c7bdba370ff9882d241c76804b9f18fdc"
"renduomega.py","post_smoothing/renduomega.py","ORPHAN","ORPHAN","ORPHAN","—","ACTIF","FALSE","28821","632","501","60","9","","1c14ec3edf789e46d9549fc9e18eeb7e1306ce527c61bc052f334aef9aa79b3c"
"router.py","wildlife_behavior_omega/router.py","ORPHAN","ORPHAN","ORPHAN","—","ACTIF","FALSE","4910","113","89","7","7","","bf35ea0b0e59ca28ae777b8c1188c3651db415349d548b6c040a26a60b442dab"
"router.py","terrain_3d_omega/router.py","ORPHAN","ORPHAN","ORPHAN","—","ACTIF","FALSE","5267","148","118","6","10","","1e25c08a5fb6c5af273e16deb075180fce86c8731edfff215a792530cf459c43"
"router.py","bdre/router.py","ORPHAN","ORPHAN","ORPHAN","—","ACTIF","FALSE","19282","571","442","45","20","fallback_detected","c3daf59360e065abdfaa5bf9d275038a40ec049407982189563f904a5b7b51a3"
"router.py","hunt_orchestrator/router.py","ORPHAN","ORPHAN","ORPHAN","—","ACTIF","FALSE","16253","454","376","11","19","","fc3d4bd8f45f5e41b074a58d8c08a745ecc310ccb4e957e6f344f07775d06976"
"router.py","ecoforestry_omega/router.py","ORPHAN","ORPHAN","ORPHAN","—","ACTIF","FALSE","5765","140","105","12","8","","37f26422cd92d62a846f3b12c1b23a128d93874ad8912a022a55b1a5b05708cb"
"router.py","nutrition_intelligence/router.py","ORPHAN","ORPHAN","ORPHAN","—","ACTIF","FALSE","35742","910","672","79","72","","f75762f4e9344fc9ecd6f696bbe616c18c6a317c9e3de09d6c1d5136f57bd6e7"
"router.py","bio_scoring_omega/router.py","ORPHAN","ORPHAN","ORPHAN","—","ACTIF","FALSE","3768","115","90","12","7","","690b9b8d90286b85744442715b88b58b8c02f12baf948692794c06927a20cc2e"
"router.py","corridor_unified/router.py","ORPHAN","ORPHAN","ORPHAN","—","ACTIF","FALSE","7024","178","155","2","12","","a91ba0bbfab7c6b57df3edabec0719620d912c667f3ada8f9727652a265eb191"
"router.py","legal_time_omega/router.py","ORPHAN","ORPHAN","ORPHAN","—","ACTIF","FALSE","8210","186","147","14","11","","3212acc450f2667a82e0a5f013a54f86a95153dfaed93e5da1fc3a16bd216077"
"router.py","hydro_topo_omega/router.py","ORPHAN","ORPHAN","ORPHAN","—","ACTIF","FALSE","4611","128","103","3","8","","64d5f7f4eb8b06194a438a03133863991af633595cad2f5a6be461146cc41a63"
"router.py","eco_zones_omega/router.py","ORPHAN","ORPHAN","ORPHAN","—","ACTIF","FALSE","6403","142","113","8","7","","edc97f665dd230c415dd3867b854717e66b89bf465fce93b513b5960fde85d92"
"router.py","reseau_veineux_omega/router.py","ORPHAN","ORPHAN","ORPHAN","—","ACTIF","FALSE","13401","325","274","16","13","","0e2eb7cbed7eec7a2691c5c786797c1e89017f4c154261dfd51f3324af2fc389"
"router.py","weather_v3/router.py","ORPHAN","ORPHAN","ORPHAN","—","ACTIF","FALSE","13020","398","326","14","10","","636db94adbdd9cbd1ef38108a4a7bc276faaa600566ddf5f86475297ab9b4c55"
"router.py","relocation/router.py","ORPHAN","ORPHAN","ORPHAN","—","ACTIF","FALSE","4688","134","111","2","9","","3f826f109d86425f631d7a0153f960e48b954a068431fe25eb913d476d3479a3"
"router.py","advanced_geospatial_omega/router.py","ORPHAN","ORPHAN","ORPHAN","—","ACTIF","FALSE","6344","169","140","3","10","","1ba26c9c0c7874a4aee88bd85eb38596b9eb2319091f9ebb0769fc6a9494ccd5"
"router.py","predictive_omega/router.py","ORPHAN","ORPHAN","ORPHAN","—","ACTIF","FALSE","6275","180","147","4","13","","09b15150fc1ba4e3297d8c781b0c2c1fee918704083567daa6bfc40a35fab12d"
"source_registry.py","bdre/source_registry.py","ORPHAN","ORPHAN","ORPHAN","—","ACTIF","FALSE","8120","251","232","2","4","","8179d2621f63b0897c8669a9898c9f31663a4dbbefe1e3811a85eec4c0ebbf58"
"source_selector.py","bdre/source_selector.py","ORPHAN","ORPHAN","ORPHAN","—","ACTIF","FALSE","2399","76","63","1","2","","9b2cc4a065fb9693e12f35b6a95ce7c96fad5ed982bc437ae206dab9c2928af7"
"terrain_costs.py","terrain_nav/terrain_costs.py","ORPHAN","ORPHAN","ORPHAN","—","ACTIF","FALSE","11719","318","243","28","7","","992ce471479217badaaff8b007c5b54579e82f7cff2b511bc08527d57a03ad1f"
"terrain_graph.py","terrain_nav/terrain_graph.py","ORPHAN","ORPHAN","ORPHAN","—","ACTIF","FALSE","11787","321","252","21","16","","039f120f296a4661cb2b873d02eaa816a19ae6fb18e0e75d39d24aeace996398"
"terrain_router.py","terrain_nav/terrain_router.py","ORPHAN","ORPHAN","ORPHAN","—","ACTIF","FALSE","20568","544","426","42","7","","7b7e1ea91844b06d79450668cfa0bca2fd7b7d322f30ba3dc9af4e4528f016c7"
"terrain_signals_builder.py","post_smoothing/terrain_signals_builder.py","ORPHAN","ORPHAN","ORPHAN","—","ACTIF","FALSE","15360","352","286","10","8","","a110fc3d36e9b053b5687d534fc8e5ab70d8cdf245e442d4287e06ab78726f44"
"terrain_sources.py","terrain_nav/terrain_sources.py","ORPHAN","ORPHAN","ORPHAN","—","ACTIF","FALSE","17054","453","354","27","15","","6f1e4d22bfa19c5f271488dcb7ea8929cdc83eaa658459ac3bcf6028cbd06efe"
"v30_mirror_read_only.py","bio_scoring_omega/v30_mirror_read_only.py","ORPHAN","ORPHAN","ORPHAN","—","ACTIF","FALSE","5222","156","129","2","8","","45d7d0ceebad90bf5219278e134ff15c9322531687807c62b21211f59bb826c9"
"veineux_omega.py","post_smoothing/veineux_omega.py","ORPHAN","ORPHAN","ORPHAN","—","ACTIF","TRUE","21073","499","384","56","9","","180b65c30dccb7c62e24d382135a4b260b7f9c78cafe2b2a7ca05942e63621ff"
"vent_odeurs.py","hunt_orchestrator/vent_odeurs.py","ORPHAN","ORPHAN","ORPHAN","—","ACTIF","FALSE","11395","337","265","16","9","","99c387b05625177ff5b3f7b28f6055a41d6ec011c8404a0a68aa59ba12a878c2"
"waterway_classifier.py","bdre/waterway_classifier.py","ORPHAN","ORPHAN","ORPHAN","—","ACTIF","FALSE","4520","131","106","8","2","","e6c7ded32715ca4d2a4c5fdc78dee02646043b34eff0ac3c30ff0bdf3a298f58"
"wind_model_provider.py","weather_v3/wind_model_provider.py","ORPHAN","ORPHAN","ORPHAN","—","ACTIF","FALSE","6889","210","162","11","7","","2ff795863f7ef9719d913d8c8a6c23b3ac4971e9e8ce2366b7796b7c6442cefb"
"x199_commons.py","x199_commons.py","ORPHAN","ORPHAN","ORPHAN","—","ACTIF","FALSE","2017","57","47","0","5","","e916dbc9527b6f19caade5465ebe698725cadb33ee32233c6836f46b0ce75ea8"
"x5100_mineral_score.py","nutrition_intelligence/x5100_mineral_score.py","ORPHAN","ORPHAN","ORPHAN","—","ACTIF","FALSE","5904","142","123","1","0","","612120c19bf068b0aa87209a9838a1f598ea832308f17709e7787c908ebe5230"
"x5200_mineral_recommendation.py","nutrition_intelligence/x5200_mineral_recommendation.py","ORPHAN","ORPHAN","ORPHAN","—","ACTIF","FALSE","4286","111","102","0","2","","61acbd99f2fff019e7ab0e988799279b0035d2bb7f5626419c5774d59d3353a1"
"x5300_order_engine.py","nutrition_intelligence/x5300_order_engine.py","ORPHAN","ORPHAN","ORPHAN","—","ACTIF","FALSE","2175","60","54","0","1","","a3342f2e149abab3d57bf7ed0610cd2f29f91aa2e6b1e9c01fa9f48a66f2ebd1"
"x5500_energy_protein.py","nutrition_intelligence/x5500_energy_protein.py","ORPHAN","ORPHAN","ORPHAN","—","ACTIF","FALSE","15685","331","328","0","0","","a1aa53f156bdaf9b278f9f1fb9207a75e39313c669b49cb3f62783e2f99a0376"
"x5600_site_guide.py","nutrition_intelligence/x5600_site_guide.py","ORPHAN","ORPHAN","ORPHAN","—","ACTIF","FALSE","9037","161","152","0","0","","85e93f9bcd60568e6c85d3a3902edfe893f64fd03413122e439b2efa349983d9"
"x5700_cost_engine.py","nutrition_intelligence/x5700_cost_engine.py","ORPHAN","ORPHAN","ORPHAN","—","ACTIF","FALSE","3287","73","63","0","3","","62e1dc0008af9719037b907f981f129f3a5f2cb0fcf362dcd379cf54b6e6d6bb"
"x5800_recipe_engine.py","nutrition_intelligence/x5800_recipe_engine.py","ORPHAN","ORPHAN","ORPHAN","—","ACTIF","FALSE","3496","83","75","0","4","","1d1593ad02541aec6f9c026a2d09970d2253103169b9d6f72886fb721a7553ea"
"x5900_evidence_engine.py","nutrition_intelligence/x5900_evidence_engine.py","ORPHAN","ORPHAN","ORPHAN","—","ACTIF","FALSE","10974","276","250","5","0","","7759654fb7669203e02e7001b5760fed8c31959a3b7b87e22ea4d4ddc1b1a409"
"x6000_product_score.py","nutrition_intelligence/x6000_product_score.py","ORPHAN","ORPHAN","ORPHAN","—","ACTIF","FALSE","11015","240","221","0","0","","07bfea2885850076d3e95735c66a3ef2dc844f39e27080db091711e061fa440c"
"x6010_product_quality_analyzer.py","nutrition_intelligence/x6010_product_quality_analyzer.py","ORPHAN","ORPHAN","ORPHAN","—","ACTIF","FALSE","7727","173","158","3","1","","7ad548cf41c319d9ba496b39710db5522f39902f7edfae9b4c881bca4c8e78fc"
"x6011_market_availability_engine.py","nutrition_intelligence/x6011_market_availability_engine.py","ORPHAN","ORPHAN","ORPHAN","—","ACTIF","FALSE","12560","280","264","3","0","","544433ede26ba8a060a03ca74cd947e272cef2515712ccec49b79e5a96473e4b"
"x6020_terrain_solutions.py","nutrition_intelligence/x6020_terrain_solutions.py","ORPHAN","ORPHAN","ORPHAN","—","ACTIF","FALSE","14668","346","328","5","0","","966c41a5c0b3cdd94d594a4a96c758d4c150c3f4f8ca54fb3905bec5fecf062d"
"x6030_product_ecosystem.py","nutrition_intelligence/x6030_product_ecosystem.py","ORPHAN","ORPHAN","ORPHAN","—","ACTIF","FALSE","12177","292","284","1","0","","3e633d24b3a265be9b04bfbbb985399de47f8e9404825e0577c79a9c0619b924"
"x7000_supplier_product_engine.py","nutrition_intelligence/x7000_supplier_product_engine.py","ORPHAN","ORPHAN","ORPHAN","—","ACTIF","FALSE","9953","299","244","9","5","","515002deb9cfa2b778d08be028019933a2b88443951319a853718f9aaed9bc07"
"__init__.py","v8_institutional/scientifique_omega/__init__.py","SCIENTIFIQUE_Ω","SCIENTIFIQUE_Ω","SCIENTIFIQUE","PHASE_XV_BLOC_1","ACTIF","TRUE","1940","33","29","0","12","","a9f5efc0fcb01af33ceecaaa805b1419e675611f642154c9d6bf1d309af72172"
"engine_comportement_omega.py","v8_institutional/scientifique_omega/engine_comportement_omega.py","SCIENTIFIQUE_Ω","SCIENTIFIQUE_Ω","SCIENTIFIQUE","PHASE_XV_BLOC_1","ACTIF","TRUE","4997","112","98","0","6","","ff3bddae2aaff70055a95033ad20074852868636ded835928cd52105b820de69"
